id_concessionaria,Id_Veicolo,modello,brand,nazionalita,citta,n_id_veicolo,Data_Consegna
1,JTJBM7FX5A5317462,"Suburban 1500",Chevrolet,BF,Koupla,JTJBM7FX5A5317462,2024-12-13
1,KNADM4A36D6462178,V70,Volvo,BF,Koupla,KNADM4A36D6462178,2022-11-12
1,KNADM4A36D6462178,V70,Volvo,BF,Koupla,KNADM4A36D6462178,2023-05-30
1,KNADM4A36D6462178,V70,Volvo,BF,Koupla,KNADM4A36D6462178,2024-10-18
1,SALAB2D4XCA606131,Pacifica,Chrysler,BF,Koupla,NULL,NULL
1,VNKJTUD39FA016666,"Miata MX-5",Mazda,BF,Koupla,NULL,NULL
1,WAUEFAFL7DA023140,"Savana 2500",GMC,BF,Koupla,WAUEFAFL7DA023140,2022-12-02
1,WAUEFAFL7DA023140,"Savana 2500",GMC,BF,Koupla,WAUEFAFL7DA023140,2023-06-16
1,WAUXL58E55A579648,E-Class,Mercedes-Benz,BF,Koupla,NULL,NULL
1,WBA3R5C56EK638737,Jimmy,GMC,BF,Koupla,NULL,NULL
1,WBABS53483E568869,911,Porsche,BF,Koupla,WBABS53483E568869,2022-12-19
1,WBABS53483E568869,911,Porsche,BF,Koupla,WBABS53483E568869,2023-05-12
1,WBAEW53453P852773,Eclipse,Mitsubishi,BF,Koupla,NULL,NULL
1,WBANF33537B949437,"Santa Fe",Hyundai,BF,Koupla,NULL,NULL
1,WBSBR93422P862592,"Mini Cooper",Austin,BF,Koupla,NULL,NULL
2,1C3CDZAB5DN954083,Tracker,Geo,CN,Yajiang,NULL,NULL
2,1C4AJWAG1FL903720,Tahoe,Chevrolet,CN,Yajiang,NULL,NULL
2,1FMJU1H51AE944207,H2,Hummer,CN,Yajiang,1FMJU1H51AE944207,2022-07-15
2,1FMJU1H51AE944207,H2,Hummer,CN,Yajiang,1FMJU1H51AE944207,2022-10-25
2,1FMJU1H51AE944207,H2,Hummer,CN,Yajiang,1FMJU1H51AE944207,2023-04-30
2,1FMJU1H51AE944207,H2,Hummer,CN,Yajiang,1FMJU1H51AE944207,2024-08-12
2,1G6DJ8EY3B0283589,Genesis,Hyundai,CN,Yajiang,1G6DJ8EY3B0283589,2022-07-24
2,1G6DJ8EY3B0283589,Genesis,Hyundai,CN,Yajiang,1G6DJ8EY3B0283589,2022-11-10
2,1G6DJ8EY3B0283589,Genesis,Hyundai,CN,Yajiang,1G6DJ8EY3B0283589,2023-04-22
2,1G6DJ8EY3B0283589,Genesis,Hyundai,CN,Yajiang,1G6DJ8EY3B0283589,2024-09-07
2,1G6DP8E39D0469207,"Grand Voyager",Plymouth,CN,Yajiang,NULL,NULL
2,1G6DX67D780035657,Diamante,Mitsubishi,CN,Yajiang,1G6DX67D780035657,2022-06-21
2,1G6DX67D780035657,Diamante,Mitsubishi,CN,Yajiang,1G6DX67D780035657,2022-11-01
2,1G6DX67D780035657,Diamante,Mitsubishi,CN,Yajiang,1G6DX67D780035657,2023-09-04
2,1G6DX67D780035657,Diamante,Mitsubishi,CN,Yajiang,1G6DX67D780035657,2024-05-15
2,1N6AA0CH2FN812489,Prizm,Chevrolet,CN,Yajiang,1N6AA0CH2FN812489,2022-05-23
2,1N6AA0CH2FN812489,Prizm,Chevrolet,CN,Yajiang,1N6AA0CH2FN812489,2022-12-02
2,1N6AA0CH2FN812489,Prizm,Chevrolet,CN,Yajiang,1N6AA0CH2FN812489,2023-09-29
2,1N6AA0CH2FN812489,Prizm,Chevrolet,CN,Yajiang,1N6AA0CH2FN812489,2024-11-03
2,1N6AA0CJ7DN535161,GT-R,Nissan,CN,Yajiang,1N6AA0CJ7DN535161,2022-08-04
2,1N6AA0CJ7DN535161,GT-R,Nissan,CN,Yajiang,1N6AA0CJ7DN535161,2022-12-08
2,1N6AA0CJ7DN535161,GT-R,Nissan,CN,Yajiang,1N6AA0CJ7DN535161,2023-09-13
2,1N6AA0CJ7DN535161,GT-R,Nissan,CN,Yajiang,1N6AA0CJ7DN535161,2024-06-08
2,5TDDK3DC5DS703940,Camry,Toyota,CN,Yajiang,5TDDK3DC5DS703940,2022-07-12
2,5TDDK3DC5DS703940,Camry,Toyota,CN,Yajiang,5TDDK3DC5DS703940,2022-12-08
2,5TDDK3DC5DS703940,Camry,Toyota,CN,Yajiang,5TDDK3DC5DS703940,2023-06-07
2,5TDDK3DC5DS703940,Camry,Toyota,CN,Yajiang,5TDDK3DC5DS703940,2024-10-27
2,KMHCT4AE5EU533009,Corolla,Toyota,CN,Yajiang,KMHCT4AE5EU533009,2023-01-12
2,KMHCT4AE5EU533009,Corolla,Toyota,CN,Yajiang,KMHCT4AE5EU533009,2023-05-03
2,KMHCT4AE5EU533009,Corolla,Toyota,CN,Yajiang,KMHCT4AE5EU533009,2024-10-24
2,KMHHU6KJ3FU980885,"Club Wagon",Ford,CN,Yajiang,KMHHU6KJ3FU980885,2023-01-09
2,KMHHU6KJ3FU980885,"Club Wagon",Ford,CN,Yajiang,KMHHU6KJ3FU980885,2023-05-14
2,KMHHU6KJ3FU980885,"Club Wagon",Ford,CN,Yajiang,KMHHU6KJ3FU980885,2024-10-27
2,KNAFT4A20B5790038,300TE,Mercedes-Benz,CN,Yajiang,NULL,NULL
2,KNAFT4A27D5359747,GT500,Ford,CN,Yajiang,KNAFT4A27D5359747,2022-11-18
2,KNAFT4A27D5359747,GT500,Ford,CN,Yajiang,KNAFT4A27D5359747,2023-08-26
2,KNAFT4A27D5359747,GT500,Ford,CN,Yajiang,KNAFT4A27D5359747,2024-07-14
2,W06VR54R81R329304,760,BMW,CN,Yajiang,W06VR54R81R329304,2022-12-25
2,W06VR54R81R329304,760,BMW,CN,Yajiang,W06VR54R81R329304,2023-04-30
2,WAUFEBFM4BA497405,Aerio,Suzuki,CN,Yajiang,NULL,NULL
2,WBAHN03507D553081,"Type 2",Volkswagen,CN,Yajiang,NULL,NULL
2,WBAYB6C54FD046808,Charger,Dodge,CN,Yajiang,WBAYB6C54FD046808,2023-01-15
2,WBAYB6C54FD046808,Charger,Dodge,CN,Yajiang,WBAYB6C54FD046808,2023-08-25
2,WUALNAFG6EN915053,"V8 Vantage","Aston Martin",CN,Yajiang,WUALNAFG6EN915053,2022-11-16
2,WUALNAFG6EN915053,"V8 Vantage","Aston Martin",CN,Yajiang,WUALNAFG6EN915053,2023-07-28
2,WVGEF9BP3FD535968,Truck,Mitsubishi,CN,Yajiang,NULL,NULL
3,19XFB2F56FE463392,"LS Hybrid",Lexus,ID,"Curahkalak Tengah",NULL,NULL
3,1GYS3GEF0DR400805,S40,Volvo,ID,"Curahkalak Tengah",NULL,NULL
3,1ZVBP8JZ2E5451986,Sunbird,Pontiac,ID,"Curahkalak Tengah",NULL,NULL
3,2B3CA5CT8AH379423,E-Series,Ford,ID,"Curahkalak Tengah",2B3CA5CT8AH379423,2022-06-22
3,2B3CA5CT8AH379423,E-Series,Ford,ID,"Curahkalak Tengah",2B3CA5CT8AH379423,2022-11-26
3,2B3CA5CT8AH379423,E-Series,Ford,ID,"Curahkalak Tengah",2B3CA5CT8AH379423,2023-08-22
3,2B3CA5CT8AH379423,E-Series,Ford,ID,"Curahkalak Tengah",2B3CA5CT8AH379423,2024-12-30
3,2B3CJ7DW7AH554779,Sebring,Chrysler,ID,"Curahkalak Tengah",NULL,NULL
3,2C3CDZBTXFH757560,Elantra,Hyundai,ID,"Curahkalak Tengah",2C3CDZBTXFH757560,2022-07-17
3,2C3CDZBTXFH757560,Elantra,Hyundai,ID,"Curahkalak Tengah",2C3CDZBTXFH757560,2022-12-11
3,2C3CDZBTXFH757560,Elantra,Hyundai,ID,"Curahkalak Tengah",2C3CDZBTXFH757560,2023-10-01
3,2C3CDZBTXFH757560,Elantra,Hyundai,ID,"Curahkalak Tengah",2C3CDZBTXFH757560,2024-07-23
3,4JGBF2FB8AA397170,Millenia,Mazda,ID,"Curahkalak Tengah",NULL,NULL
3,5J8TB1H51CA643955,Durango,Dodge,ID,"Curahkalak Tengah",5J8TB1H51CA643955,2022-08-05
3,5J8TB1H51CA643955,Durango,Dodge,ID,"Curahkalak Tengah",5J8TB1H51CA643955,2022-12-16
3,5J8TB1H51CA643955,Durango,Dodge,ID,"Curahkalak Tengah",5J8TB1H51CA643955,2023-07-01
3,5J8TB1H51CA643955,Durango,Dodge,ID,"Curahkalak Tengah",5J8TB1H51CA643955,2024-09-30
3,5YMGZ0C54E0628752,Esteem,Suzuki,ID,"Curahkalak Tengah",5YMGZ0C54E0628752,2022-06-28
3,5YMGZ0C54E0628752,Esteem,Suzuki,ID,"Curahkalak Tengah",5YMGZ0C54E0628752,2022-12-23
3,5YMGZ0C54E0628752,Esteem,Suzuki,ID,"Curahkalak Tengah",5YMGZ0C54E0628752,2023-05-25
3,5YMGZ0C54E0628752,Esteem,Suzuki,ID,"Curahkalak Tengah",5YMGZ0C54E0628752,2024-08-30
3,KNDKG3A28A7688862,"Park Avenue",Buick,ID,"Curahkalak Tengah",KNDKG3A28A7688862,2023-01-07
3,KNDKG3A28A7688862,"Park Avenue",Buick,ID,"Curahkalak Tengah",KNDKG3A28A7688862,2023-06-09
3,KNDKG3A28A7688862,"Park Avenue",Buick,ID,"Curahkalak Tengah",KNDKG3A28A7688862,2024-09-18
3,WAUJGAFD1FN849935,"Silverado 3500",Chevrolet,ID,"Curahkalak Tengah",NULL,NULL
3,WAULT64B42N116579,Esperante,Panoz,ID,"Curahkalak Tengah",WAULT64B42N116579,2022-12-18
3,WAULT64B42N116579,Esperante,Panoz,ID,"Curahkalak Tengah",WAULT64B42N116579,2023-04-30
3,WAUXL58E24A462625,TL,Acura,ID,"Curahkalak Tengah",NULL,NULL
3,WBA3A9G55DN535685,Aviator,Lincoln,ID,"Curahkalak Tengah",NULL,NULL
3,WDDGF4HBXDR527707,Versa,Nissan,ID,"Curahkalak Tengah",NULL,NULL
3,WDDHF0EB3EA992024,Xterra,Nissan,ID,"Curahkalak Tengah",WDDHF0EB3EA992024,2022-12-17
3,WDDHF0EB3EA992024,Xterra,Nissan,ID,"Curahkalak Tengah",WDDHF0EB3EA992024,2023-07-26
3,YV4612HK3F1455305,Caravan,Dodge,ID,"Curahkalak Tengah",YV4612HK3F1455305,2022-11-22
3,YV4612HK3F1455305,Caravan,Dodge,ID,"Curahkalak Tengah",YV4612HK3F1455305,2023-08-13
4,1B3CB7HB8AD357847,riolet,Audi,SI,"Zgornje Pirnice",NULL,NULL
4,1C3CC5FB0AN642706,"Range Rover Evoque","Land Rover",SI,"Zgornje Pirnice",NULL,NULL
4,1C6RD7PT5CS546927,S60,Volvo,SI,"Zgornje Pirnice",NULL,NULL
4,1D7CE3BK8AS148097,B-Series,Mazda,SI,"Zgornje Pirnice",1D7CE3BK8AS148097,2022-07-02
4,1D7CE3BK8AS148097,B-Series,Mazda,SI,"Zgornje Pirnice",1D7CE3BK8AS148097,2022-11-16
4,1D7CE3BK8AS148097,B-Series,Mazda,SI,"Zgornje Pirnice",1D7CE3BK8AS148097,2023-04-29
4,1D7CE3BK8AS148097,B-Series,Mazda,SI,"Zgornje Pirnice",1D7CE3BK8AS148097,2024-07-12
4,1GKS2GEJ4CR215477,9-5,Saab,SI,"Zgornje Pirnice",NULL,NULL
4,1GTN1UEH1EZ335795,CR-X,Honda,SI,"Zgornje Pirnice",NULL,NULL
4,1N6AD0CW9FN014819,Venture,Chevrolet,SI,"Zgornje Pirnice",1N6AD0CW9FN014819,2022-06-18
4,1N6AD0CW9FN014819,Venture,Chevrolet,SI,"Zgornje Pirnice",1N6AD0CW9FN014819,2023-01-08
4,1N6AD0CW9FN014819,Venture,Chevrolet,SI,"Zgornje Pirnice",1N6AD0CW9FN014819,2023-05-22
4,1N6AD0CW9FN014819,Venture,Chevrolet,SI,"Zgornje Pirnice",1N6AD0CW9FN014819,2024-09-15
4,3C6TD4HT9CG111659,"Nuova 500",Fiat,SI,"Zgornje Pirnice",3C6TD4HT9CG111659,2022-06-25
4,3C6TD4HT9CG111659,"Nuova 500",Fiat,SI,"Zgornje Pirnice",3C6TD4HT9CG111659,2022-11-09
4,3C6TD4HT9CG111659,"Nuova 500",Fiat,SI,"Zgornje Pirnice",3C6TD4HT9CG111659,2023-07-05
4,3C6TD4HT9CG111659,"Nuova 500",Fiat,SI,"Zgornje Pirnice",3C6TD4HT9CG111659,2024-10-04
4,3FAHP0CG2BR349984,4Runner,Toyota,SI,"Zgornje Pirnice",NULL,NULL
4,3VW1K7AJ2FM012457,Reno,Suzuki,SI,"Zgornje Pirnice",3VW1K7AJ2FM012457,2022-05-17
4,3VW1K7AJ2FM012457,Reno,Suzuki,SI,"Zgornje Pirnice",3VW1K7AJ2FM012457,2022-10-23
4,3VW1K7AJ2FM012457,Reno,Suzuki,SI,"Zgornje Pirnice",3VW1K7AJ2FM012457,2023-06-26
4,3VW1K7AJ2FM012457,Reno,Suzuki,SI,"Zgornje Pirnice",3VW1K7AJ2FM012457,2024-05-30
4,4T1BF3EK3BU236006,Celica,Toyota,SI,"Zgornje Pirnice",NULL,NULL
4,5N1AT2ML5FC459989,Scirocco,Volkswagen,SI,"Zgornje Pirnice",5N1AT2ML5FC459989,2022-08-11
4,5N1AT2ML5FC459989,Scirocco,Volkswagen,SI,"Zgornje Pirnice",5N1AT2ML5FC459989,2022-12-05
4,5N1AT2ML5FC459989,Scirocco,Volkswagen,SI,"Zgornje Pirnice",5N1AT2ML5FC459989,2023-06-26
4,5N1AT2ML5FC459989,Scirocco,Volkswagen,SI,"Zgornje Pirnice",5N1AT2ML5FC459989,2024-04-22
4,5N1AT2ML7EC943886,Biturbo,Maserati,SI,"Zgornje Pirnice",5N1AT2ML7EC943886,2022-08-10
4,5N1AT2ML7EC943886,Biturbo,Maserati,SI,"Zgornje Pirnice",5N1AT2ML7EC943886,2023-01-03
4,5N1AT2ML7EC943886,Biturbo,Maserati,SI,"Zgornje Pirnice",5N1AT2ML7EC943886,2023-07-22
4,5N1AT2ML7EC943886,Biturbo,Maserati,SI,"Zgornje Pirnice",5N1AT2ML7EC943886,2024-11-13
4,JH4DC54873S642535,Sunfire,Pontiac,SI,"Zgornje Pirnice",JH4DC54873S642535,2022-06-18
4,JH4DC54873S642535,Sunfire,Pontiac,SI,"Zgornje Pirnice",JH4DC54873S642535,2022-10-27
4,JH4DC54873S642535,Sunfire,Pontiac,SI,"Zgornje Pirnice",JH4DC54873S642535,2023-07-12
4,JH4DC54873S642535,Sunfire,Pontiac,SI,"Zgornje Pirnice",JH4DC54873S642535,2024-12-13
4,JN8AE2KP8D9497932,Lancer,Mitsubishi,SI,"Zgornje Pirnice",JN8AE2KP8D9497932,2022-07-30
4,JN8AE2KP8D9497932,Lancer,Mitsubishi,SI,"Zgornje Pirnice",JN8AE2KP8D9497932,2022-12-31
4,JN8AE2KP8D9497932,Lancer,Mitsubishi,SI,"Zgornje Pirnice",JN8AE2KP8D9497932,2023-07-18
4,JN8AE2KP8D9497932,Lancer,Mitsubishi,SI,"Zgornje Pirnice",JN8AE2KP8D9497932,2024-09-30
4,KMHHT6KD6CU250249,Freestyle,Ford,SI,"Zgornje Pirnice",KMHHT6KD6CU250249,2022-11-06
4,KMHHT6KD6CU250249,Freestyle,Ford,SI,"Zgornje Pirnice",KMHHT6KD6CU250249,2023-09-02
4,KMHHT6KD6CU250249,Freestyle,Ford,SI,"Zgornje Pirnice",KMHHT6KD6CU250249,2024-10-27
4,SALAK2V67FA697086,GT-R,Nissan,SI,"Zgornje Pirnice",SALAK2V67FA697086,2023-01-14
4,SALAK2V67FA697086,GT-R,Nissan,SI,"Zgornje Pirnice",SALAK2V67FA697086,2023-05-19
4,SCFFDCCD1AG601202,Sunbird,Pontiac,SI,"Zgornje Pirnice",NULL,NULL
4,WA1CKBFP2AA964483,Azera,Hyundai,SI,"Zgornje Pirnice",WA1CKBFP2AA964483,2022-10-19
4,WA1CKBFP2AA964483,Azera,Hyundai,SI,"Zgornje Pirnice",WA1CKBFP2AA964483,2023-04-26
4,WAUAH94F57N458031,Corvette,Chevrolet,SI,"Zgornje Pirnice",WAUAH94F57N458031,2022-12-17
4,WAUAH94F57N458031,Corvette,Chevrolet,SI,"Zgornje Pirnice",WAUAH94F57N458031,2023-08-05
4,WAUNE78P58A918900,"Defender 110","Land Rover",SI,"Zgornje Pirnice",WAUNE78P58A918900,2022-12-28
4,WAUNE78P58A918900,"Defender 110","Land Rover",SI,"Zgornje Pirnice",WAUNE78P58A918900,2023-07-31
4,WAUXG94F99N995906,MDX,Acura,SI,"Zgornje Pirnice",NULL,NULL
4,WBAET37425N455043,"599 GTB Fiorano",Ferrari,SI,"Zgornje Pirnice",WBAET37425N455043,2022-12-30
4,WBAET37425N455043,"599 GTB Fiorano",Ferrari,SI,"Zgornje Pirnice",WBAET37425N455043,2023-05-28
5,1FADP3E27DL850744,Highlander,Toyota,BY,Nyakhachava,NULL,NULL
5,1FMJU1J53AE660281,MX-5,Mazda,BY,Nyakhachava,NULL,NULL
5,1FTMF1EW2AF789931,Sunbird,Pontiac,BY,Nyakhachava,1FTMF1EW2AF789931,2022-08-13
5,1FTMF1EW2AF789931,Sunbird,Pontiac,BY,Nyakhachava,1FTMF1EW2AF789931,2022-12-09
5,1FTMF1EW2AF789931,Sunbird,Pontiac,BY,Nyakhachava,1FTMF1EW2AF789931,2023-06-07
5,1FTMF1EW2AF789931,Sunbird,Pontiac,BY,Nyakhachava,1FTMF1EW2AF789931,2024-12-03
5,1G4GE5E3XCF416988,Trooper,Isuzu,BY,Nyakhachava,1G4GE5E3XCF416988,2022-08-04
5,1G4GE5E3XCF416988,Trooper,Isuzu,BY,Nyakhachava,1G4GE5E3XCF416988,2023-01-14
5,1G4GE5E3XCF416988,Trooper,Isuzu,BY,Nyakhachava,1G4GE5E3XCF416988,2023-09-30
5,1G4GE5E3XCF416988,Trooper,Isuzu,BY,Nyakhachava,1G4GE5E3XCF416988,2024-06-19
5,1G4PR5SK9C4883296,Accord,Honda,BY,Nyakhachava,1G4PR5SK9C4883296,2022-07-20
5,1G4PR5SK9C4883296,Accord,Honda,BY,Nyakhachava,1G4PR5SK9C4883296,2022-11-20
5,1G4PR5SK9C4883296,Accord,Honda,BY,Nyakhachava,1G4PR5SK9C4883296,2023-05-20
5,1G4PR5SK9C4883296,Accord,Honda,BY,Nyakhachava,1G4PR5SK9C4883296,2024-07-04
5,1G6AA5RA9E0857213,SRX,Cadillac,BY,Nyakhachava,1G6AA5RA9E0857213,2022-07-30
5,1G6AA5RA9E0857213,SRX,Cadillac,BY,Nyakhachava,1G6AA5RA9E0857213,2022-12-12
5,1G6AA5RA9E0857213,SRX,Cadillac,BY,Nyakhachava,1G6AA5RA9E0857213,2023-06-12
5,1G6AA5RA9E0857213,SRX,Cadillac,BY,Nyakhachava,1G6AA5RA9E0857213,2024-12-14
5,1G6DT57V180050749,MKZ,Lincoln,BY,Nyakhachava,1G6DT57V180050749,2022-05-27
5,1G6DT57V180050749,MKZ,Lincoln,BY,Nyakhachava,1G6DT57V180050749,2022-10-30
5,1G6DT57V180050749,MKZ,Lincoln,BY,Nyakhachava,1G6DT57V180050749,2023-07-14
5,1G6DT57V180050749,MKZ,Lincoln,BY,Nyakhachava,1G6DT57V180050749,2024-12-22
5,1GYFC23219R024854,Tundra,Toyota,BY,Nyakhachava,1GYFC23219R024854,2022-06-27
5,1GYFC23219R024854,Tundra,Toyota,BY,Nyakhachava,1GYFC23219R024854,2023-01-06
5,1GYFC23219R024854,Tundra,Toyota,BY,Nyakhachava,1GYFC23219R024854,2023-10-15
5,1GYFC23219R024854,Tundra,Toyota,BY,Nyakhachava,1GYFC23219R024854,2024-09-09
5,2G4WB55K211875450,NV2500,Nissan,BY,Nyakhachava,2G4WB55K211875450,2022-06-13
5,2G4WB55K211875450,NV2500,Nissan,BY,Nyakhachava,2G4WB55K211875450,2022-12-02
5,2G4WB55K211875450,NV2500,Nissan,BY,Nyakhachava,2G4WB55K211875450,2023-07-20
5,2G4WB55K211875450,NV2500,Nissan,BY,Nyakhachava,2G4WB55K211875450,2024-08-31
5,2HNYD18401H749778,Navigator,Lincoln,BY,Nyakhachava,2HNYD18401H749778,2022-07-02
5,2HNYD18401H749778,Navigator,Lincoln,BY,Nyakhachava,2HNYD18401H749778,2022-11-09
5,2HNYD18401H749778,Navigator,Lincoln,BY,Nyakhachava,2HNYD18401H749778,2023-07-27
5,2HNYD18401H749778,Navigator,Lincoln,BY,Nyakhachava,2HNYD18401H749778,2024-04-28
5,3C3CFFCR3CT171989,"Ram 2500 Club",Dodge,BY,Nyakhachava,3C3CFFCR3CT171989,2022-08-02
5,3C3CFFCR3CT171989,"Ram 2500 Club",Dodge,BY,Nyakhachava,3C3CFFCR3CT171989,2023-01-10
5,3C3CFFCR3CT171989,"Ram 2500 Club",Dodge,BY,Nyakhachava,3C3CFFCR3CT171989,2023-08-10
5,3C3CFFCR3CT171989,"Ram 2500 Club",Dodge,BY,Nyakhachava,3C3CFFCR3CT171989,2024-06-23
5,3C4PDDDG3ET586334,Venture,Chevrolet,BY,Nyakhachava,NULL,NULL
5,3C6TD4MT7CG053363,TrailBlazer,Chevrolet,BY,Nyakhachava,NULL,NULL
5,3D7TT2CT9BG936693,"Suburban 2500",Chevrolet,BY,Nyakhachava,3D7TT2CT9BG936693,2022-06-10
5,3D7TT2CT9BG936693,"Suburban 2500",Chevrolet,BY,Nyakhachava,3D7TT2CT9BG936693,2022-10-27
5,3D7TT2CT9BG936693,"Suburban 2500",Chevrolet,BY,Nyakhachava,3D7TT2CT9BG936693,2023-08-31
5,3D7TT2CT9BG936693,"Suburban 2500",Chevrolet,BY,Nyakhachava,3D7TT2CT9BG936693,2024-08-23
5,5GADT13S952457138,Avanti,Studebaker,BY,Nyakhachava,5GADT13S952457138,2022-07-25
5,5GADT13S952457138,Avanti,Studebaker,BY,Nyakhachava,5GADT13S952457138,2022-10-21
5,5GADT13S952457138,Avanti,Studebaker,BY,Nyakhachava,5GADT13S952457138,2023-06-01
5,5GADT13S952457138,Avanti,Studebaker,BY,Nyakhachava,5GADT13S952457138,2024-07-09
5,5N1AA0ND6FN478489,GTO,Pontiac,BY,Nyakhachava,5N1AA0ND6FN478489,2022-07-19
5,5N1AA0ND6FN478489,GTO,Pontiac,BY,Nyakhachava,5N1AA0ND6FN478489,2022-11-17
5,5N1AA0ND6FN478489,GTO,Pontiac,BY,Nyakhachava,5N1AA0ND6FN478489,2023-08-12
5,5N1AA0ND6FN478489,GTO,Pontiac,BY,Nyakhachava,5N1AA0ND6FN478489,2024-09-24
5,5N1AR2MM4EC085798,B-Series,Mazda,BY,Nyakhachava,NULL,NULL
5,5NPEB4AC8CH866634,F150,Ford,BY,Nyakhachava,5NPEB4AC8CH866634,2022-06-01
5,5NPEB4AC8CH866634,F150,Ford,BY,Nyakhachava,5NPEB4AC8CH866634,2022-10-18
5,5NPEB4AC8CH866634,F150,Ford,BY,Nyakhachava,5NPEB4AC8CH866634,2023-05-26
5,5NPEB4AC8CH866634,F150,Ford,BY,Nyakhachava,5NPEB4AC8CH866634,2024-07-06
5,JA32X8HW2AU877237,Galant,Mitsubishi,BY,Nyakhachava,JA32X8HW2AU877237,2022-06-12
5,JA32X8HW2AU877237,Galant,Mitsubishi,BY,Nyakhachava,JA32X8HW2AU877237,2022-11-04
5,JA32X8HW2AU877237,Galant,Mitsubishi,BY,Nyakhachava,JA32X8HW2AU877237,2023-08-23
5,JA32X8HW2AU877237,Galant,Mitsubishi,BY,Nyakhachava,JA32X8HW2AU877237,2024-07-26
5,JH4NA12693T113974,Edge,Ford,BY,Nyakhachava,JH4NA12693T113974,2022-08-01
5,JH4NA12693T113974,Edge,Ford,BY,Nyakhachava,JH4NA12693T113974,2022-10-20
5,JH4NA12693T113974,Edge,Ford,BY,Nyakhachava,JH4NA12693T113974,2023-10-05
5,JH4NA12693T113974,Edge,Ford,BY,Nyakhachava,JH4NA12693T113974,2024-07-19
5,JM1DE1HY5B0081406,E-Series,Ford,BY,Nyakhachava,NULL,NULL
5,SAJWA0FB1BL879060,"Escalade EXT",Cadillac,BY,Nyakhachava,SAJWA0FB1BL879060,2022-11-23
5,SAJWA0FB1BL879060,"Escalade EXT",Cadillac,BY,Nyakhachava,SAJWA0FB1BL879060,2023-09-03
5,SAJWA0FB1BL879060,"Escalade EXT",Cadillac,BY,Nyakhachava,SAJWA0FB1BL879060,2024-12-18
5,WA1WGAFP1DA823207,Impreza,Subaru,BY,Nyakhachava,NULL,NULL
5,WA1YD54B85N967556,Roadmaster,Buick,BY,Nyakhachava,NULL,NULL
5,WAUHF78P68A585889,Veyron,Bugatti,BY,Nyakhachava,WAUHF78P68A585889,2022-11-29
5,WAUHF78P68A585889,Veyron,Bugatti,BY,Nyakhachava,WAUHF78P68A585889,2023-07-14
5,WAUUL98E66A279838,S60,Volvo,BY,Nyakhachava,WAUUL98E66A279838,2022-10-26
5,WAUUL98E66A279838,S60,Volvo,BY,Nyakhachava,WAUUL98E66A279838,2023-10-05
